set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
0.9 1 1.07126
0.9 1.1 1.07173
0.9 1.2 1.07194
0.9 1.3 1.07203
0.9 1.4 1.07207
0.9 1.5 1.07208
0.9 1.6 1.07209
0.9 1.7 1.03506
0.9 1.8 0.85843
0.9 1.9 0.485681
0.9 2 0

1 0 0
1 0.1 0.438924
1 0.2 0.720493
1 0.3 0.876597
1 0.4 0.95616
1 0.5 0.994725
1 0.6 1.01286
1 0.7 1.02124
1 0.8 1.02506
1 0.9 1.02679
1 1 1.02756
1 1.1 1.02791
1 1.2 1.02806
1 1.3 1.02812
1 1.4 1.02815
1 1.5 1.02816
1 1.6 1.02817
1 1.7 0.991134
1 1.8 0.816952
1 1.9 0.455977
1 2 0

1.1 0 0
1.1 0.1 0.437063
1.1 0.2 0.715662
1.1 0.3 0.868428
1.1 0.4 0.944978
1.1 0.5 0.981215
1.1 0.6 0.997754
1.1 0.7 1.00513
1.1 0.8 1.00838
1.1 0.9 1.0098
1.1 1 1.01041
1.1 1.1 1.01068
1.1 1.2 1.0108
1.1 1.3 1.01084
1.1 1.4 1.01087
1.1 1.5 1.01087
1.1 1.6 1.01088
1.1 1.7 0.973843
1.1 1.8 0.800535
1.1 1.9 0.444007
1.1 2 0

1.2 0 0
1.2 0.1 0.436477
1.2 0.2 0.714067
1.2 0.3 0.865618
1.2 0.4 0.940997
1.2 0.5 0.976271
1.2 0.6 0.992111
1.2 0.7 0.999027
1.2 0.8 1.00199
1.2 0.9 1.00325
1.2 1 1.00378
1.2 1.1 1.004
1.2 1.2 1.00409
1.2 1.3 1.00413
1.2 1.4 1.00415
1.2 1.5 1.00416
1.2 1.6 1.00416
1.2 1.7 0.967123
1.2 1.8 0.794121
1.2 1.9 0.439252
1.2 2 0

1.3 0 0
1.3 0.1 0.436294
1.3 0.2 0.713549
1.3 0.3 0.864668
1.3 0.4 0.939605
1.3 0.5 0.974494
